,Z,N,me_diff_over_std
5524,101.0,191.0,4.0
5525,101.0,192.0,4.0
5526,101.0,193.0,4.0
5527,101.0,194.0,4.0
5528,101.0,195.0,4.0
5529,101.0,196.0,4.0
5530,101.0,197.0,4.0
5531,101.0,198.0,4.0
5532,101.0,199.0,4.0
5533,101.0,200.0,4.0
5534,101.0,201.0,4.0
5535,101.0,202.0,4.0
5536,101.0,203.0,4.0
5537,101.0,204.0,4.0
5538,101.0,205.0,4.0
5539,101.0,206.0,4.0
5540,101.0,207.0,4.0
5541,101.0,208.0,4.0
5542,101.0,209.0,4.0
5543,101.0,210.0,4.0
5544,101.0,211.0,4.0
5545,101.0,212.0,4.0
5546,101.0,213.0,4.0
5547,101.0,214.0,4.0
5548,101.0,215.0,4.0
5549,101.0,216.0,4.0
5550,101.0,217.0,4.0
5551,101.0,218.0,4.0
5552,101.0,219.0,4.0
5553,101.0,220.0,4.0
5554,101.0,221.0,4.0
5555,101.0,222.0,4.0
5556,101.0,223.0,4.0
5557,101.0,224.0,4.0
5558,101.0,225.0,4.0
5559,101.0,226.0,4.0
5560,101.0,227.0,4.0
5561,101.0,228.0,4.0
5562,101.0,229.0,4.0
5563,101.0,230.0,4.0
5564,101.0,231.0,4.0
5565,102.0,134.0,4.0
5566,102.0,135.0,4.0
5567,102.0,136.0,4.0
5568,102.0,137.0,4.0
5569,102.0,138.0,4.0
5570,102.0,139.0,4.0
5571,102.0,140.0,4.0
5572,102.0,141.0,4.0
5573,102.0,142.0,3.0
5574,102.0,143.0,1.0
5575,102.0,144.0,-1.0
5576,102.0,145.0,1.0
5577,102.0,146.0,1.0
5578,102.0,147.0,2.0
5579,102.0,148.0,2.0
5580,102.0,149.0,3.0
5581,102.0,150.0,4.0
5582,102.0,151.0,4.0
5583,102.0,152.0,3.0
5584,102.0,153.0,3.0
5585,102.0,154.0,2.0
5586,102.0,155.0,3.0
5587,102.0,156.0,2.0
5588,102.0,157.0,3.0
5589,102.0,158.0,3.0
5590,102.0,159.0,3.0
5591,102.0,160.0,3.0
5592,102.0,161.0,3.0
5593,102.0,162.0,4.0
5594,102.0,163.0,4.0
5595,102.0,164.0,4.0
5596,102.0,165.0,4.0
5597,102.0,166.0,4.0
5598,102.0,167.0,4.0
5599,102.0,168.0,4.0
5600,102.0,169.0,4.0
5601,102.0,170.0,4.0
5602,102.0,171.0,4.0
5603,102.0,172.0,4.0
5604,102.0,173.0,4.0
5605,102.0,174.0,4.0
5606,102.0,175.0,4.0
5607,102.0,176.0,4.0
5608,102.0,177.0,4.0
5609,102.0,178.0,4.0
5610,102.0,179.0,4.0
5611,102.0,180.0,4.0
5612,102.0,181.0,4.0
5613,102.0,182.0,4.0
5614,102.0,183.0,4.0
5615,102.0,184.0,4.0
5616,102.0,185.0,4.0
5617,102.0,186.0,4.0
5618,102.0,187.0,4.0
5619,102.0,188.0,4.0
5620,102.0,189.0,4.0
5621,102.0,190.0,4.0
5622,102.0,191.0,4.0
5623,102.0,192.0,4.0
5624,102.0,193.0,4.0
5625,102.0,194.0,4.0
5626,102.0,195.0,4.0
5627,102.0,196.0,4.0
5628,102.0,197.0,4.0
5629,102.0,198.0,4.0
5630,102.0,199.0,4.0
5631,102.0,200.0,4.0
5632,102.0,201.0,4.0
5633,102.0,202.0,4.0
5634,102.0,203.0,4.0
5635,102.0,204.0,4.0
5636,102.0,205.0,4.0
5637,102.0,206.0,4.0
5638,102.0,207.0,4.0
5639,102.0,208.0,4.0
5640,102.0,209.0,4.0
5641,102.0,210.0,4.0
5642,102.0,211.0,4.0
5643,102.0,212.0,4.0
5644,102.0,213.0,4.0
5645,102.0,214.0,4.0
5646,102.0,215.0,4.0
5647,102.0,216.0,4.0
5648,102.0,217.0,4.0
5649,102.0,218.0,4.0
5650,102.0,219.0,4.0
5651,102.0,220.0,4.0
5652,102.0,221.0,4.0
5653,102.0,222.0,4.0
5654,102.0,223.0,4.0
5655,102.0,224.0,4.0
5656,102.0,225.0,4.0
5657,102.0,226.0,4.0
5658,102.0,227.0,4.0
5659,102.0,228.0,4.0
5660,102.0,229.0,4.0
5661,102.0,230.0,4.0
5662,102.0,231.0,4.0
5663,103.0,142.0,4.0
5664,103.0,143.0,2.0
5665,103.0,144.0,1.0
5666,103.0,145.0,-1.0
5667,103.0,146.0,-1.0
5668,103.0,147.0,-1.0
5669,103.0,148.0,1.0
5670,103.0,149.0,2.0
5671,103.0,150.0,2.0
5672,103.0,151.0,4.0
5673,103.0,152.0,4.0
5674,103.0,153.0,4.0
5675,103.0,154.0,4.0
5676,103.0,155.0,4.0
5677,103.0,156.0,3.0
5678,103.0,157.0,3.0
5679,103.0,158.0,3.0
5680,103.0,159.0,3.0
5681,103.0,160.0,3.0
5682,103.0,161.0,4.0
5683,103.0,162.0,4.0
5684,103.0,163.0,4.0
5685,103.0,164.0,4.0
5686,103.0,165.0,4.0
5687,103.0,166.0,4.0
5688,103.0,167.0,4.0
5689,103.0,168.0,4.0
5690,103.0,169.0,4.0
5691,103.0,170.0,4.0
5692,103.0,171.0,4.0
5693,103.0,172.0,4.0
5694,103.0,173.0,4.0
5695,103.0,174.0,4.0
5696,103.0,175.0,4.0
5697,103.0,176.0,4.0
5698,103.0,177.0,4.0
5699,103.0,178.0,4.0
5700,103.0,179.0,4.0
5701,103.0,180.0,4.0
5702,103.0,181.0,4.0
5703,103.0,182.0,4.0
5704,103.0,183.0,4.0
5705,103.0,184.0,4.0
5706,103.0,185.0,4.0
5707,103.0,186.0,4.0
5708,103.0,187.0,4.0
5709,103.0,188.0,4.0
5710,103.0,189.0,4.0
5711,103.0,190.0,4.0
5712,103.0,191.0,4.0
5713,103.0,192.0,4.0
5714,103.0,193.0,4.0
5715,103.0,194.0,4.0
5716,103.0,195.0,4.0
5717,103.0,196.0,4.0
5718,103.0,197.0,4.0
5719,103.0,198.0,4.0
5720,103.0,199.0,4.0
5721,103.0,200.0,4.0
5722,103.0,201.0,4.0
5723,103.0,202.0,4.0
5724,103.0,203.0,4.0
5725,103.0,204.0,4.0
5726,103.0,205.0,4.0
5727,103.0,206.0,4.0
5728,103.0,207.0,4.0
5729,103.0,208.0,4.0
5730,103.0,209.0,4.0
5731,103.0,210.0,4.0
5732,103.0,211.0,4.0
5733,103.0,212.0,4.0
5734,103.0,213.0,4.0
5735,103.0,214.0,4.0
5736,103.0,215.0,4.0
5737,103.0,216.0,4.0
5738,103.0,217.0,4.0
5739,103.0,218.0,4.0
5740,103.0,219.0,4.0
5741,103.0,220.0,4.0
5742,103.0,221.0,4.0
5743,103.0,222.0,4.0
5744,103.0,223.0,4.0
5745,103.0,224.0,4.0
5746,103.0,225.0,4.0
5747,103.0,226.0,4.0
5748,103.0,227.0,4.0
5749,103.0,228.0,4.0
5750,103.0,229.0,4.0
5751,103.0,230.0,4.0
5752,103.0,231.0,4.0
5753,103.0,232.0,4.0
5754,103.0,233.0,4.0
5755,103.0,234.0,4.0
5756,103.0,235.0,4.0
5757,104.0,139.0,4.0
5758,104.0,140.0,4.0
5759,104.0,141.0,4.0
5760,104.0,142.0,4.0
5761,104.0,143.0,4.0
5762,104.0,144.0,3.0
5763,104.0,145.0,1.0
5764,104.0,146.0,-1.0
5765,104.0,147.0,-2.0
5766,104.0,148.0,-2.0
5767,104.0,149.0,-1.0
5768,104.0,150.0,-1.0
5769,104.0,151.0,1.0
5770,104.0,152.0,2.0
5771,104.0,153.0,4.0
5772,104.0,154.0,3.0
5773,104.0,155.0,4.0
5774,104.0,156.0,4.0
5775,104.0,157.0,3.0
5776,104.0,158.0,3.0
5777,104.0,159.0,3.0
5778,104.0,160.0,3.0
5779,104.0,161.0,4.0
5780,104.0,162.0,3.0
5781,104.0,163.0,4.0
5782,104.0,164.0,4.0
5783,104.0,165.0,4.0
5784,104.0,166.0,4.0
5785,104.0,167.0,4.0
5786,104.0,168.0,4.0
5787,104.0,169.0,4.0
5788,104.0,170.0,4.0
5789,104.0,171.0,4.0
5790,104.0,172.0,4.0
5791,104.0,173.0,4.0
5792,104.0,174.0,4.0
5793,104.0,175.0,4.0
5794,104.0,176.0,4.0
5795,104.0,177.0,4.0
5796,104.0,178.0,4.0
5797,104.0,179.0,4.0
5798,104.0,180.0,4.0
5799,104.0,181.0,4.0
5800,104.0,182.0,4.0
5801,104.0,183.0,4.0
5802,104.0,184.0,4.0
5803,104.0,185.0,4.0
5804,104.0,186.0,4.0
5805,104.0,187.0,4.0
5806,104.0,188.0,4.0
5807,104.0,189.0,4.0
5808,104.0,190.0,4.0
5809,104.0,191.0,4.0
5810,104.0,192.0,4.0
5811,104.0,193.0,4.0
5812,104.0,194.0,4.0
5813,104.0,195.0,4.0
5814,104.0,196.0,4.0
5815,104.0,197.0,4.0
5816,104.0,198.0,4.0
5817,104.0,199.0,4.0
5818,104.0,200.0,4.0
5819,104.0,201.0,4.0
5820,104.0,202.0,4.0
5821,104.0,203.0,4.0
5822,104.0,204.0,4.0
5823,104.0,205.0,4.0
5824,104.0,206.0,4.0
5825,104.0,207.0,4.0
5826,104.0,208.0,4.0
5827,104.0,209.0,4.0
5828,104.0,210.0,4.0
5829,104.0,211.0,4.0
5830,104.0,212.0,4.0
5831,104.0,213.0,4.0
5832,104.0,214.0,4.0
5833,104.0,215.0,4.0
5834,104.0,216.0,4.0
5835,104.0,217.0,4.0
5836,104.0,218.0,4.0
5837,104.0,219.0,4.0
5838,104.0,220.0,4.0
5839,104.0,221.0,4.0
5840,104.0,222.0,4.0
5841,104.0,223.0,4.0
5842,104.0,224.0,4.0
5843,104.0,225.0,4.0
5844,104.0,226.0,4.0
5845,104.0,227.0,4.0
5846,104.0,228.0,4.0
5847,104.0,229.0,4.0
5848,104.0,230.0,4.0
5849,104.0,231.0,4.0
5850,104.0,232.0,4.0
5851,104.0,233.0,4.0
5852,104.0,234.0,4.0
5853,104.0,235.0,4.0
5854,104.0,236.0,4.0
5855,104.0,237.0,4.0
5856,105.0,147.0,1.0
5857,105.0,148.0,-1.0
5858,105.0,149.0,-1.0
5859,105.0,150.0,-1.0
5860,105.0,151.0,1.0
5861,105.0,152.0,1.0
5862,105.0,153.0,3.0
5863,105.0,154.0,4.0
5864,105.0,155.0,4.0
5865,105.0,156.0,4.0
5866,105.0,157.0,4.0
5867,105.0,158.0,4.0
5868,105.0,159.0,4.0
5869,105.0,160.0,4.0
5870,105.0,161.0,4.0
5871,105.0,162.0,4.0
5872,105.0,163.0,4.0
5873,105.0,164.0,4.0
5874,105.0,165.0,4.0
5875,105.0,166.0,4.0
5876,105.0,167.0,4.0
5877,105.0,168.0,4.0
5878,105.0,169.0,4.0
5879,105.0,170.0,4.0
5880,105.0,171.0,4.0
5881,105.0,172.0,4.0
5882,105.0,173.0,4.0
5883,105.0,174.0,4.0
5884,105.0,175.0,4.0
5885,105.0,176.0,4.0
5886,105.0,177.0,4.0
5887,105.0,178.0,4.0
5888,105.0,179.0,4.0
5889,105.0,180.0,4.0
5890,105.0,181.0,4.0
5891,105.0,182.0,4.0
5892,105.0,183.0,4.0
5893,105.0,184.0,4.0
5894,105.0,185.0,4.0
5895,105.0,186.0,4.0
5896,105.0,187.0,4.0
5897,105.0,188.0,4.0
5898,105.0,189.0,4.0
5899,105.0,190.0,4.0
5900,105.0,191.0,4.0
5901,105.0,192.0,4.0
5902,105.0,193.0,4.0
5903,105.0,194.0,4.0
5904,105.0,195.0,4.0
5905,105.0,196.0,4.0
5906,105.0,197.0,4.0
5907,105.0,198.0,4.0
5908,105.0,199.0,4.0
5909,105.0,200.0,4.0
5910,105.0,201.0,4.0
5911,105.0,202.0,4.0
5912,105.0,203.0,4.0
5913,105.0,204.0,4.0
5914,105.0,205.0,4.0
5915,105.0,206.0,4.0
5916,105.0,207.0,4.0
5917,105.0,208.0,4.0
5918,105.0,209.0,4.0
5919,105.0,210.0,4.0
5920,105.0,211.0,4.0
5921,105.0,212.0,4.0
5922,105.0,213.0,4.0
5923,105.0,214.0,4.0
5924,105.0,215.0,4.0
5925,105.0,216.0,4.0
5926,105.0,217.0,4.0
5927,105.0,218.0,4.0
5928,105.0,219.0,4.0
5929,105.0,220.0,4.0
5930,105.0,221.0,4.0
5931,105.0,222.0,4.0
5932,105.0,223.0,4.0
5933,105.0,224.0,4.0
5934,105.0,225.0,4.0
5935,105.0,226.0,4.0
5936,105.0,227.0,4.0
5937,105.0,228.0,4.0
5938,105.0,229.0,4.0
5939,105.0,230.0,4.0
5940,105.0,231.0,4.0
5941,105.0,232.0,4.0
5942,105.0,233.0,4.0
5943,105.0,234.0,4.0
5944,105.0,235.0,4.0
5945,105.0,236.0,4.0
5946,105.0,237.0,4.0
5947,106.0,144.0,4.0
5948,106.0,145.0,4.0
5949,106.0,146.0,4.0
5950,106.0,147.0,4.0
5951,106.0,148.0,2.0
5952,106.0,149.0,1.0
5953,106.0,150.0,-2.0
5954,106.0,151.0,-1.0
5955,106.0,152.0,-2.0
5956,106.0,153.0,1.0
5957,106.0,154.0,1.0
5958,106.0,155.0,3.0
5959,106.0,156.0,4.0
5960,106.0,157.0,4.0
5961,106.0,158.0,4.0
5962,106.0,159.0,4.0
5963,106.0,160.0,4.0
5964,106.0,161.0,4.0
5965,106.0,162.0,4.0
5966,106.0,163.0,4.0
5967,106.0,164.0,4.0
5968,106.0,165.0,4.0
5969,106.0,166.0,4.0
5970,106.0,167.0,4.0
5971,106.0,168.0,4.0
5972,106.0,169.0,4.0
5973,106.0,170.0,4.0
5974,106.0,171.0,4.0
5975,106.0,172.0,4.0
5976,106.0,173.0,4.0
5977,106.0,174.0,4.0
5978,106.0,175.0,4.0
5979,106.0,176.0,4.0
5980,106.0,177.0,4.0
5981,106.0,178.0,4.0
5982,106.0,179.0,4.0
5983,106.0,180.0,4.0
5984,106.0,181.0,4.0
5985,106.0,182.0,4.0
5986,106.0,183.0,4.0
5987,106.0,184.0,4.0
5988,106.0,185.0,4.0
5989,106.0,186.0,4.0
5990,106.0,187.0,4.0
5991,106.0,188.0,4.0
5992,106.0,189.0,4.0
5993,106.0,190.0,4.0
5994,106.0,191.0,4.0
5995,106.0,192.0,4.0
5996,106.0,193.0,4.0
5997,106.0,194.0,4.0
5998,106.0,195.0,4.0
5999,106.0,196.0,4.0
6000,106.0,197.0,4.0
6001,106.0,198.0,4.0
6002,106.0,199.0,4.0
6003,106.0,200.0,4.0
6004,106.0,201.0,4.0
6005,106.0,202.0,4.0
6006,106.0,203.0,4.0
6007,106.0,204.0,4.0
6008,106.0,205.0,4.0
6009,106.0,206.0,4.0
6010,106.0,207.0,4.0
6011,106.0,208.0,4.0
6012,106.0,209.0,4.0
6013,106.0,210.0,4.0
6014,106.0,211.0,4.0
6015,106.0,212.0,4.0
6016,106.0,213.0,4.0
6017,106.0,214.0,4.0
6018,106.0,215.0,4.0
6019,106.0,216.0,4.0
6020,106.0,217.0,4.0
6021,106.0,218.0,4.0
6022,106.0,219.0,4.0
6023,106.0,220.0,4.0
6024,106.0,221.0,4.0
6025,106.0,222.0,4.0
6026,106.0,223.0,4.0
6027,106.0,224.0,4.0
6028,106.0,225.0,4.0
6029,106.0,226.0,4.0
6030,106.0,227.0,4.0
6031,106.0,228.0,4.0
6032,106.0,229.0,4.0
6033,106.0,230.0,4.0
6034,106.0,231.0,4.0
6035,106.0,232.0,4.0
6036,106.0,233.0,4.0
6037,106.0,234.0,4.0
6038,106.0,235.0,4.0
6039,106.0,236.0,4.0
6040,106.0,237.0,4.0
6041,106.0,238.0,4.0
6042,106.0,239.0,4.0
6043,107.0,151.0,1.0
6044,107.0,152.0,-1.0
6045,107.0,153.0,-1.0
6046,107.0,154.0,1.0
6047,107.0,155.0,2.0
6048,107.0,156.0,3.0
6049,107.0,157.0,4.0
6050,107.0,158.0,4.0
6051,107.0,159.0,4.0
6052,107.0,160.0,4.0
6053,107.0,161.0,4.0
6054,107.0,162.0,4.0
6055,107.0,163.0,4.0
6056,107.0,164.0,4.0
6057,107.0,165.0,4.0
6058,107.0,166.0,4.0
6059,107.0,167.0,4.0
6060,107.0,168.0,4.0
6061,107.0,169.0,4.0
6062,107.0,170.0,4.0
6063,107.0,171.0,4.0
6064,107.0,172.0,4.0
6065,107.0,173.0,4.0
6066,107.0,174.0,4.0
6067,107.0,175.0,4.0
6068,107.0,176.0,4.0
6069,107.0,177.0,4.0
6070,107.0,178.0,4.0
6071,107.0,179.0,4.0
6072,107.0,180.0,4.0
6073,107.0,181.0,4.0
6074,107.0,182.0,4.0
6075,107.0,183.0,4.0
6076,107.0,184.0,4.0
6077,107.0,185.0,4.0
6078,107.0,186.0,4.0
6079,107.0,187.0,4.0
6080,107.0,188.0,4.0
6081,107.0,189.0,4.0
6082,107.0,190.0,4.0
6083,107.0,191.0,4.0
6084,107.0,192.0,4.0
6085,107.0,193.0,4.0
6086,107.0,194.0,4.0
6087,107.0,195.0,4.0
6088,107.0,196.0,4.0
6089,107.0,197.0,4.0
6090,107.0,198.0,4.0
6091,107.0,199.0,4.0
6092,107.0,200.0,4.0
6093,107.0,201.0,4.0
6094,107.0,202.0,4.0
6095,107.0,203.0,4.0
6096,107.0,204.0,4.0
6097,107.0,205.0,4.0
6098,107.0,206.0,4.0
6099,107.0,207.0,4.0
6100,107.0,208.0,4.0
6101,107.0,209.0,4.0
6102,107.0,210.0,4.0
6103,107.0,211.0,4.0
6104,107.0,212.0,4.0
6105,107.0,213.0,4.0
6106,107.0,214.0,4.0
6107,107.0,215.0,4.0
6108,107.0,216.0,4.0
6109,107.0,217.0,4.0
6110,107.0,218.0,4.0
6111,107.0,219.0,4.0
6112,107.0,220.0,4.0
6113,107.0,221.0,4.0
6114,107.0,222.0,4.0
6115,107.0,223.0,4.0
6116,107.0,224.0,4.0
6117,107.0,225.0,4.0
6118,107.0,226.0,4.0
6119,107.0,227.0,4.0
6120,107.0,228.0,4.0
6121,107.0,229.0,4.0
6122,107.0,230.0,4.0
6123,107.0,231.0,4.0
6124,107.0,232.0,4.0
6125,107.0,233.0,4.0
6126,107.0,234.0,4.0
6127,107.0,235.0,4.0
6128,107.0,236.0,4.0
6129,107.0,237.0,4.0
6130,107.0,238.0,4.0
6131,107.0,239.0,4.0
6132,107.0,240.0,4.0
6133,108.0,147.0,4.0
6134,108.0,148.0,4.0
6135,108.0,149.0,4.0
6136,108.0,150.0,4.0
6137,108.0,151.0,4.0
6138,108.0,152.0,2.0
6139,108.0,153.0,1.0
6140,108.0,154.0,-1.0
6141,108.0,155.0,1.0
6142,108.0,156.0,1.0
6143,108.0,157.0,2.0
6144,108.0,158.0,4.0
6145,108.0,159.0,4.0
6146,108.0,160.0,4.0
6147,108.0,161.0,4.0
6148,108.0,162.0,4.0
6149,108.0,163.0,4.0
6150,108.0,164.0,4.0
6151,108.0,165.0,4.0
6152,108.0,166.0,4.0
6153,108.0,167.0,4.0
6154,108.0,168.0,4.0
6155,108.0,169.0,4.0
6156,108.0,170.0,4.0
6157,108.0,171.0,4.0
6158,108.0,172.0,4.0
6159,108.0,173.0,4.0
6160,108.0,174.0,4.0
6161,108.0,175.0,4.0
6162,108.0,176.0,4.0
6163,108.0,177.0,4.0
6164,108.0,178.0,4.0
6165,108.0,179.0,4.0
6166,108.0,180.0,4.0
6167,108.0,181.0,4.0
6168,108.0,182.0,4.0
6169,108.0,183.0,4.0
6170,108.0,184.0,4.0
6171,108.0,185.0,4.0
6172,108.0,186.0,4.0
6173,108.0,187.0,4.0
6174,108.0,188.0,4.0
6175,108.0,189.0,4.0
6176,108.0,190.0,4.0
6177,108.0,191.0,4.0
6178,108.0,192.0,4.0
6179,108.0,193.0,4.0
6180,108.0,194.0,4.0
6181,108.0,195.0,4.0
6182,108.0,196.0,4.0
6183,108.0,197.0,4.0
6184,108.0,198.0,4.0
6185,108.0,199.0,4.0
6186,108.0,200.0,4.0
6187,108.0,201.0,4.0
6188,108.0,202.0,4.0
6189,108.0,203.0,4.0
6190,108.0,204.0,4.0
6191,108.0,205.0,4.0
6192,108.0,206.0,4.0
6193,108.0,207.0,4.0
6194,108.0,208.0,4.0
6195,108.0,209.0,4.0
6196,108.0,210.0,4.0
6197,108.0,211.0,4.0
6198,108.0,212.0,4.0
6199,108.0,213.0,4.0
6200,108.0,214.0,4.0
6201,108.0,215.0,4.0
6202,108.0,216.0,4.0
6203,108.0,217.0,4.0
6204,108.0,218.0,4.0
6205,108.0,219.0,4.0
6206,108.0,220.0,4.0
6207,108.0,221.0,4.0
6208,108.0,222.0,4.0
6209,108.0,223.0,4.0
6210,108.0,224.0,4.0
6211,108.0,225.0,4.0
6212,108.0,226.0,4.0
6213,108.0,227.0,4.0
6214,108.0,228.0,4.0
6215,108.0,229.0,4.0
6216,108.0,230.0,4.0
6217,108.0,231.0,4.0
6218,108.0,232.0,4.0
6219,108.0,233.0,4.0
6220,108.0,234.0,4.0
6221,108.0,235.0,4.0
6222,108.0,236.0,4.0
6223,108.0,237.0,4.0
6224,108.0,238.0,4.0
6225,108.0,239.0,4.0
6226,108.0,240.0,4.0
6227,108.0,241.0,4.0
6228,108.0,242.0,4.0
6229,108.0,243.0,4.0
6230,108.0,244.0,4.0
6231,108.0,245.0,4.0
6232,108.0,246.0,4.0
6233,108.0,247.0,4.0
6234,109.0,156.0,1.0
6235,109.0,157.0,2.0
6236,109.0,158.0,3.0
6237,109.0,159.0,4.0
6238,109.0,160.0,4.0
6239,109.0,161.0,4.0
6240,109.0,162.0,4.0
6241,109.0,163.0,4.0
6242,109.0,164.0,4.0
6243,109.0,165.0,4.0
6244,109.0,166.0,4.0
6245,109.0,167.0,4.0
6246,109.0,168.0,4.0
6247,109.0,169.0,4.0
6248,109.0,170.0,4.0
6249,109.0,171.0,4.0
6250,109.0,172.0,4.0
6251,109.0,173.0,4.0
6252,109.0,174.0,4.0
6253,109.0,175.0,4.0
6254,109.0,176.0,4.0
6255,109.0,177.0,4.0
6256,109.0,178.0,4.0
6257,109.0,179.0,4.0
6258,109.0,180.0,4.0
6259,109.0,181.0,4.0
6260,109.0,182.0,4.0
6261,109.0,183.0,4.0
6262,109.0,184.0,4.0
6263,109.0,185.0,4.0
6264,109.0,186.0,4.0
6265,109.0,187.0,4.0
6266,109.0,188.0,4.0
6267,109.0,189.0,4.0
6268,109.0,190.0,4.0
6269,109.0,191.0,4.0
6270,109.0,192.0,4.0
6271,109.0,193.0,4.0
6272,109.0,194.0,4.0
6273,109.0,195.0,4.0
6274,109.0,196.0,4.0
6275,109.0,197.0,4.0
6276,109.0,198.0,4.0
6277,109.0,199.0,4.0
6278,109.0,200.0,4.0
6279,109.0,201.0,4.0
6280,109.0,202.0,4.0
6281,109.0,203.0,4.0
6282,109.0,204.0,4.0
6283,109.0,205.0,4.0
6284,109.0,206.0,4.0
6285,109.0,207.0,4.0
6286,109.0,208.0,4.0
6287,109.0,209.0,4.0
6288,109.0,210.0,4.0
6289,109.0,211.0,4.0
6290,109.0,212.0,4.0
6291,109.0,213.0,4.0
6292,109.0,214.0,4.0
6293,109.0,215.0,4.0
6294,109.0,216.0,4.0
6295,109.0,217.0,4.0
6296,109.0,218.0,4.0
6297,109.0,219.0,4.0
6298,109.0,220.0,4.0
6299,109.0,221.0,4.0
6300,109.0,222.0,4.0
6301,109.0,223.0,4.0
6302,109.0,224.0,4.0
6303,109.0,225.0,4.0
6304,109.0,226.0,4.0
6305,109.0,227.0,4.0
6306,109.0,228.0,4.0
6307,109.0,229.0,4.0
6308,109.0,230.0,4.0
6309,109.0,231.0,4.0
6310,109.0,232.0,4.0
6311,109.0,233.0,4.0
6312,109.0,234.0,4.0
6313,109.0,235.0,4.0
6314,109.0,236.0,4.0
6315,109.0,237.0,4.0
6316,109.0,238.0,4.0
6317,109.0,239.0,4.0
6318,109.0,240.0,4.0
6319,109.0,241.0,4.0
6320,109.0,242.0,4.0
6321,109.0,243.0,4.0
6322,109.0,244.0,4.0
6323,109.0,245.0,4.0
6324,110.0,149.0,4.0
6325,110.0,150.0,4.0
6326,110.0,151.0,4.0
6327,110.0,152.0,4.0
6328,110.0,153.0,4.0
6329,110.0,154.0,4.0
6330,110.0,155.0,4.0
6331,110.0,156.0,4.0
6332,110.0,157.0,2.0
6333,110.0,158.0,2.0
6334,110.0,159.0,3.0
6335,110.0,160.0,4.0
6336,110.0,161.0,4.0
6337,110.0,162.0,4.0
6338,110.0,163.0,4.0
6339,110.0,164.0,4.0
6340,110.0,165.0,4.0
6341,110.0,166.0,4.0
6342,110.0,167.0,4.0
6343,110.0,168.0,4.0
6344,110.0,169.0,4.0
6345,110.0,170.0,4.0
6346,110.0,171.0,4.0
6347,110.0,172.0,4.0
6348,110.0,173.0,4.0
6349,110.0,174.0,4.0
6350,110.0,175.0,4.0
6351,110.0,176.0,4.0
6352,110.0,177.0,4.0
6353,110.0,178.0,4.0
6354,110.0,179.0,4.0
6355,110.0,180.0,4.0
6356,110.0,181.0,4.0
6357,110.0,182.0,4.0
6358,110.0,183.0,4.0
6359,110.0,184.0,4.0
6360,110.0,185.0,4.0
6361,110.0,186.0,4.0
6362,110.0,187.0,4.0
6363,110.0,188.0,4.0
6364,110.0,189.0,4.0
6365,110.0,190.0,4.0
6366,110.0,191.0,4.0
6367,110.0,192.0,4.0
6368,110.0,193.0,4.0
6369,110.0,194.0,4.0
6370,110.0,195.0,4.0
6371,110.0,196.0,4.0
6372,110.0,197.0,4.0
6373,110.0,198.0,4.0
6374,110.0,199.0,4.0
6375,110.0,200.0,4.0
6376,110.0,201.0,4.0
6377,110.0,202.0,4.0
6378,110.0,203.0,4.0
6379,110.0,204.0,4.0
6380,110.0,205.0,4.0
6381,110.0,206.0,4.0
6382,110.0,207.0,4.0
6383,110.0,208.0,4.0
6384,110.0,209.0,4.0
6385,110.0,210.0,4.0
6386,110.0,211.0,4.0
6387,110.0,212.0,4.0
6388,110.0,213.0,4.0
6389,110.0,214.0,4.0
6390,110.0,215.0,4.0
6391,110.0,216.0,4.0
6392,110.0,217.0,4.0
6393,110.0,218.0,4.0
6394,110.0,219.0,4.0
6395,110.0,220.0,4.0
6396,110.0,221.0,4.0
6397,110.0,222.0,4.0
6398,110.0,223.0,4.0
6399,110.0,224.0,4.0
6400,110.0,225.0,4.0
6401,110.0,226.0,4.0
6402,110.0,227.0,4.0
6403,110.0,228.0,4.0
6404,110.0,229.0,4.0
6405,110.0,230.0,4.0
6406,110.0,231.0,4.0
6407,110.0,232.0,4.0
6408,110.0,233.0,4.0
6409,110.0,234.0,4.0
6410,110.0,235.0,4.0
6411,110.0,236.0,4.0
6412,110.0,237.0,4.0
6413,110.0,238.0,4.0
6414,110.0,239.0,4.0
6415,110.0,240.0,4.0
6416,110.0,241.0,4.0
6417,110.0,242.0,4.0
6418,110.0,243.0,4.0
6419,110.0,244.0,4.0
6420,110.0,245.0,4.0
6421,110.0,246.0,4.0
6422,110.0,247.0,4.0
6423,110.0,248.0,4.0
6424,110.0,249.0,4.0
