Z;N;AME20;Prediction;Difference
33.0;45.0;-73.65627;984110400.0;-984110473.65627
33.0;48.0;-73.22083;984110400.0;-984110473.22083
33.0;51.0;-66.10947;984110400.0;-984110466.10947
33.0;54.0;-56.34697;984110400.0;-984110456.34697
34.0;38.0;-68.2676;984110400.0;-984110468.2676
34.0;41.0;-72.8838;984110400.0;-984110472.8838
34.0;44.0;-78.18887;984110400.0;-984110478.18887
34.0;47.0;-76.86011;984110400.0;-984110476.86011
34.0;50.0;-75.77594;984110400.0;-984110475.77594
34.0;53.0;-66.2277;984110400.0;-984110466.2277
34.0;56.0;-56.15423;984110400.0;-984110456.15423
35.0;39.0;-65.68692;984110400.0;-984110465.68692
35.0;42.0;-74.35986;984110400.0;-984110474.35986
35.0;45.0;-76.60407;984110400.0;-984110476.60407
35.0;48.0;-79.66382;984110400.0;-984110479.66382
35.0;51.0;-75.85527;984110400.0;-984110475.85527
35.0;54.0;-68.45607;984110400.0;-984110468.45607
35.0;57.0;-56.47546;984110400.0;-984110456.47546
36.0;39.0;-64.43017;984110400.0;-984110464.43017
36.0;42.0;-74.86287;984110400.0;-984110474.86287
36.0;45.0;-78.45928;984110400.0;-984110478.45928
36.0;48.0;-82.79921;984110400.0;-984110482.79921
36.0;51.0;-80.58336;984110400.0;-984110480.58336
36.0;54.0;-74.73413;984110400.0;-984110474.73413
36.0;57.0;-64.07858;984110400.0;-984110464.07858
36.0;60.0;-53.92459;984110400.0;-984110453.92459
37.0;41.0;-66.48859;984110400.0;-984110466.48859
37.0;44.0;-76.49943;984110400.0;-984110476.49943
37.0;47.0;-80.3969;984110400.0;-984110480.3969
37.0;50.0;-84.05481;984110400.0;-984110484.05481
37.0;53.0;-78.5177;984110400.0;-984110478.5177
37.0;56.0;-72.44361;984110400.0;-984110472.44361
37.0;59.0;-61.3375;984110400.0;-984110461.3375
37.0;62.0;-51.83325;984110400.0;-984110451.83325
38.0;42.0;-70.37267;984110400.0;-984110470.37267
38.0;45.0;-77.05386;984110400.0;-984110477.05386
38.0;48.0;-84.90459;984110400.0;-984110484.90459
38.0;51.0;-85.59884;984110400.0;-984110485.59884
38.0;54.0;-82.53453;984110400.0;-984110482.53453
38.0;57.0;-74.26009;984110400.0;-984110474.26009
38.0;60.0;-66.65668;984110400.0;-984110466.65668
38.0;63.0;-55.07768;984110400.0;-984110455.07768
39.0;44.0;-72.94773;984110400.0;-984110472.94773
39.0;47.0;-79.93821;984110400.0;-984110479.93821
39.0;50.0;-87.18847;984110400.0;-984110487.18847
39.0;53.0;-83.72927;984110400.0;-984110483.72927
39.0;56.0;-80.44674;984110400.0;-984110480.44674
39.0;59.0;-72.2254;984110400.0;-984110472.2254
39.0;62.0;-64.89651;984110400.0;-984110464.89651
40.0;44.0;-71.34337;984110400.0;-984110471.34337
40.0;47.0;-79.04068;984110400.0;-984110479.04068
40.0;50.0;-88.7948;984110400.0;-984110488.7948
40.0;53.0;-86.57627;984110400.0;-984110486.57627
40.0;56.0;-84.57552;984110400.0;-984110484.57552
40.0;59.0;-77.60021;984110400.0;-984110477.60021
40.0;62.0;-71.59692;984110400.0;-984110471.59692
40.0;65.0;-61.06385;984110400.0;-984110461.06385
41.0;45.0;-68.71753;984110400.0;-984110468.71753
41.0;48.0;-81.33154;984110400.0;-984110481.33154
41.0;51.0;-86.637;984110400.0;-984110486.637
41.0;54.0;-87.14198;984110400.0;-984110487.14198
41.0;57.0;-83.0418;984110400.0;-984110483.0418
41.0;60.0;-79.22688;984110400.0;-984110479.22688
41.0;63.0;-71.43669;984110400.0;-984110471.43669
41.0;66.0;-64.16121;984110400.0;-984110464.16121
42.0;46.0;-72.83022;984110400.0;-984110472.83022
42.0;49.0;-82.51583;984110400.0;-984110482.51583
42.0;52.0;-88.77783;984110400.0;-984110488.77783
42.0;55.0;-87.72324;984110400.0;-984110487.72324
42.0;58.0;-86.57896;984110400.0;-984110486.57896
42.0;61.0;-81.05105;984110400.0;-984110481.05105
42.0;64.0;-76.15813;984110400.0;-984110476.15813
42.0;67.0;-67.1376;984110400.0;-984110467.1376
43.0;47.0;-70.30749;984110400.0;-984110470.30749
43.0;50.0;-83.92524;984110400.0;-984110483.92524
43.0;53.0;-86.05372;984110400.0;-984110486.05372
43.0;56.0;-88.39363;984110400.0;-984110488.39363
43.0;59.0;-85.21893;984110400.0;-984110485.21893
43.0;62.0;-82.33899;984110400.0;-984110482.33899
43.0;65.0;-76.12085;984110400.0;-984110476.12085
43.0;68.0;-69.53579;984110400.0;-984110469.53579
44.0;49.0;-77.3662;984110400.0;-984110477.3662
44.0;52.0;-86.45039;984110400.0;-984110486.45039
44.0;55.0;-87.83905;984110400.0;-984110487.83905
44.0;58.0;-89.81544;984110400.0;-984110489.81544
44.0;61.0;-86.46346;984110400.0;-984110486.46346
44.0;64.0;-83.76162;984110400.0;-984110483.76162
44.0;67.0;-77.18327;984110400.0;-984110477.18327
44.0;70.0;-70.88816;984110400.0;-984110470.88816
44.0;73.0;-60.36775;984110400.0;-984110460.36775
45.0;49.0;-72.72398;984110400.0;-984110472.72398
45.0;52.0;-82.70169;984110400.0;-984110482.70169
45.0;55.0;-85.97407;984110400.0;-984110485.97407
45.0;58.0;-89.29897;984110400.0;-984110489.29897
45.0;61.0;-87.32092;984110400.0;-984110487.32092
45.0;64.0;-85.68947;984110400.0;-984110485.68947
45.0;67.0;-80.08505;984110400.0;-984110480.08505
45.0;70.0;-74.60675;984110400.0;-984110474.60675
45.0;73.0;-65.45097;984110400.0;-984110465.45097
